mode,dataset_index,episode_index,delay,valid_action_steps,first_action_mae,first_action_mse,first4_mae,first4_mse,chunk_mae,chunk_mse
sync,77272,51,4,50,0.09242662042379379,0.01346237026154995,0.0953783392906189,0.014340902678668499,0.12773849070072174,0.02531246654689312
sync,81135,54,4,50,0.1103949174284935,0.022639406844973564,0.11358649283647537,0.025023162364959717,0.16122807562351227,0.05196601152420044
sync,84999,56,4,50,0.102763831615448,0.01422099582850933,0.10163001716136932,0.013950767926871777,0.19630244374275208,0.092244952917099
sync,88862,59,4,50,0.10237439721822739,0.015951424837112427,0.10327697545289993,0.016102496534585953,0.1697678118944168,0.07797499746084213
sync,77272,51,8,50,0.1290658563375473,0.02378874085843563,0.14304913580417633,0.03145661577582359,0.1709369570016861,0.056496258825063705
sync,81135,54,8,50,0.06690352410078049,0.008464302867650986,0.06820069998502731,0.008645238354802132,0.11412111669778824,0.020110400393605232
sync,84999,56,8,50,0.0974724292755127,0.019860444590449333,0.09673338383436203,0.018990909680724144,0.19314877688884735,0.0710994303226471
sync,88862,59,8,50,0.19620703160762787,0.12092459201812744,0.20832251012325287,0.13708604872226715,0.24365964531898499,0.14497138559818268
sync,92726,61,0,50,0.15488295257091522,0.04240927845239639,0.16584673523902893,0.04985800012946129,0.17024947702884674,0.057079847902059555
sync,96590,64,0,50,0.06312508881092072,0.008487668819725513,0.06316067278385162,0.008261451497673988,0.169173464179039,0.07457093149423599
sync,100453,66,0,47,0.07456319779157639,0.00891459733247757,0.07440260797739029,0.008889542892575264,0.07480622828006744,0.008767434395849705
sync,104317,69,0,50,0.08708731830120087,0.012703507207334042,0.08712625503540039,0.012584961019456387,0.12087268382310867,0.0401870422065258
sync,92726,61,4,50,0.08585375547409058,0.010020648129284382,0.0891113430261612,0.010886991396546364,0.09543359279632568,0.015330173075199127
sync,96590,64,4,50,0.06826724112033844,0.009041217155754566,0.06735662370920181,0.008941428735852242,0.1461053490638733,0.053934935480356216
sync,100453,66,4,43,0.053099580109119415,0.005386750679463148,0.05248720571398735,0.005332385189831257,0.05227906256914139,0.0053435941226780415
sync,104317,69,4,50,0.08758740872144699,0.015046229586005211,0.0889398381114006,0.015646768733859062,0.10361821949481964,0.017734352499246597
sync,92726,61,8,50,0.16109812259674072,0.05100259184837341,0.1672588288784027,0.055019862949848175,0.14349713921546936,0.04299881309270859
sync,96590,64,8,50,0.11225792020559311,0.022062161937355995,0.12901048362255096,0.03428473323583603,0.11854452639818192,0.03450276330113411
